,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
333,338,Gujarat,Ahmedabad,8236691019.453779,987619.2593920024,38381,3614,32929,1838,0,7045313.0,72.23928414741097,22.84623274459388,309.0,28.03,1003.19,4.44,293.05,3.4e-05,0.0,0.0,7575.458
334,339,Jharkhand,Ranchi,5967320594.3098545,703461.6994728914,21414,2993,18286,135,0,2914253.0,85.35986849192754,23.28294950910655,301.13,54.07,953.84,0.71,46.29,0.283569,0.0,0.0,7431.754
335,340,West Bengal,Hooghly,3714098917.792247,558737.2926168065,14110,1388,12473,249,1,5520389.0,87.97711050131153,22.877455327579977,301.84,69.0,1005.56,1.73,189.85,2.598296,0.0,0.0,6449.373
336,341,Madhya Pradesh,Indore,4616757364.14656,554842.6359715828,27289,4554,22127,608,0,3276697.0,75.83316391376206,22.711411463941182,308.54,18.15,957.7,4.03,309.27,1.7e-05,0.0,0.0,7232.43
337,342,Jharkhand,East Singhbhum,4198777068.231749,464467.86166929064,14859,1619,12927,313,2,2293919.0,86.49379263103972,22.56852088512721,301.47,65.27,985.78,0.91,151.31,1.0371139999999999,0.0,0.0,7021.647
338,343,Gujarat,Vadodara,4754400411.248236,529100.5435590632,13107,2132,10780,195,0,3093795.0,73.3291279941019,22.248945128053922,308.83,28.62,997.78,3.38,273.52,0.0008300000000000001,0.0,0.0,7507.901
339,344,West Bengal,Howrah,1706318210.0707762,276714.14778507396,19881,1367,17908,606,0,4850029.0,88.07746193106513,22.643576863506908,301.7,71.02,1006.67,1.99,193.51,2.8509700000000002,0.0,0.0,6444.952
340,345,Madhya Pradesh,West Nimar,9364767926.210121,745375.1040203101,3482,233,3201,48,1,1873046.0,75.78182643571868,21.968101401322716,309.45,18.25,970.67,4.37,305.93,2.5e-05,0.0,0.0,7284.502
341,346,Gujarat,Bharuch,5944309840.157407,660798.3292784069,2439,253,2171,15,1,1550822.0,73.07929156373964,21.722781016220054,307.88,37.92,1003.31,3.17,253.24,0.035733999999999995,0.0,0.0,7489.623
342,347,Chhattisgarh,Janjgir - Champa,4510304490.867512,423964.06338249607,6131,1655,4439,37,2,1619707,82.79845127216429,21.98275169437934,304.71,37.99,975.37,0.9,333.66,2.8999999999999997e-05,0.0,0.0,7411.738
343,348,Maharashtra,Amravati,14117651666.385098,1014017.1548751077,14769,1921,12543,305,1,2606063.0,77.6210371058548,21.18681845362776,307.9,21.42,957.31,1.8,303.4,0.000134,0.0,0.0,6837.947
344,349,Gujarat,Surat,4976610389.321245,573579.2934618569,31402,2497,28113,792,0,6079231.0,73.19328663944454,21.186490817245982,306.72,44.81,999.35,3.4,248.53,0.097567,0.0,0.0,7400.709
345,350,Maharashtra,Nagpur,11434507540.8136,700271.5075508542,84124,10862,71011,2241,0,4051444.0,79.08168326054698,21.151587188740077,308.04,24.68,968.4,1.02,310.51,5e-06,0.0,0.0,7197.558
346,351,Jharkhand,Koderma,1997641301.598625,347205.77587583405,3084,273,2786,25,1,716259.0,85.69082862246428,24.51918980237565,301.8,53.6,976.39,1.29,106.6,0.363154,0.0,0.0,7082.309
347,352,Jharkhand,Hazaribagh,5296253039.917987,735356.9978104165,3724,465,3234,25,1,1734495.0,85.39697538743455,24.095206576731005,301.68,51.67,964.19,0.76,85.38,0.29067,0.0,0.0,7302.446
348,353,Bihar,Begusarai,2368298000.2271147,407076.5870919663,6516,181,6310,25,1,2970541.0,86.1124282545381,25.53640446068315,302.5,56.42,1001.21,2.58,102.14,0.8667389999999999,0.0,0.0,6040.717
349,354,Bihar,Bhagalpur,3137049329.8548303,438021.38081028155,7666,320,7284,62,1,3037766.0,87.05686316857968,25.25824823863266,301.92,60.77,999.72,2.15,111.15,1.507213,0.0,0.0,6341.592
350,355,Bihar,Patna,3956207469.320617,638732.1028369832,29943,2346,27373,224,0,5838465.0,85.25425523176119,25.405383234280038,303.31,51.58,999.8,2.12,99.29,0.364365,0.0,0.0,6556.333
351,356,Bihar,Saran,3326626621.432961,386203.7906077221,5678,238,5407,33,1,3951862.0,84.80517565166724,25.869907866960673,302.85,54.47,1000.19,2.24,99.8,0.336652,0.0,0.0,6257.548
352,357,Bihar,Siwan,2760389743.72819,350034.4373645071,3844,271,3554,19,1,3330464.0,84.37181964752418,26.194378127251657,302.61,55.71,999.47,2.16,102.6,0.384337,0.0,0.0,6434.148
353,358,Bihar,Muzaffarpur,3961579374.1351476,482381.0577459018,8691,491,8168,32,2,4801062.0,85.39178375711906,26.212653610665537,301.9,59.05,1000.32,2.68,104.52,0.772536,0.0,0.0,5224.957
354,359,Bihar,Madhepura,2229308523.872256,383561.11342272203,3609,370,3230,9,1,2001762.0,86.9172396573463,25.750307727946662,301.66,61.12,1002.5,2.21,105.9,1.315516,0.0,0.0,5643.955
355,360,Bihar,Supaul,3019409959.293661,421098.0122031675,4447,314,4124,9,2,2229076.0,86.75124538716857,26.28303655126517,300.82,62.51,993.09,2.06,108.73,1.601682,0.0,0.0,5224.616
356,361,Bihar,Madhubani,4381816450.101924,540900.2722376181,6454,331,6105,18,1,4487379.0,86.210821448227,26.374085282497234,301.12,61.37,995.53,2.43,111.98,1.3196780000000001,0.0,0.0,4969.084
357,362,Chhattisgarh,Surajpur,6505616268.170148,655438.8454635928,2031,449,1570,12,2,660280.0,82.84120611462899,23.422715133314195,302.17,38.88,943.85,1.36,318.75,0.0017100000000000001,0.0,0.0,7470.494
358,363,Chhattisgarh,Baloda Bazar,5424355189.725379,532761.2176611135,3583,270,3291,22,2,1305343.0,82.35107203658815,21.52430109100466,305.02,38.42,974.59,0.48,327.3,0.0005099999999999999,0.0,0.0,7446.243
359,364,Chhattisgarh,Surguja,4746673276.615446,493205.3626189258,3062,745,2291,26,2,840352.0,83.29950797768981,22.948437322634522,301.38,42.26,937.74,1.83,335.34,0.0016190000000000002,0.0,0.0,7483.23
360,365,Uttar Pradesh,Ghaziabad,1190187235.9113724,252346.7094265196,15771,1663,14028,80,1,3289540.0,77.4840359824402,28.744180875050304,305.62,35.39,980.6,0.2,223.59,0.000884,0.0,0.0,7321.734
